"Gene"	"Element"	"Class"
"414_tnpA_AL513383.1"	"transposase"	"tnpA"
"2570_tnpA_CCSD01000073.1"	"transposase"	"tnpA"
"2004_tnpA_HF677572.1"	"transposase"	"tnpA"
"733_tnpA1_CBTR010000003.1"	"transposase"	"tnpA1"
"1017_tnpA_FKLR01000027.1"	"transposase"	"tnpA"
"2268_tnpA_AYLO01000021.1"	"transposase"	"tnpA"
"1044_tnpA_AB723628.1"	"transposase"	"tnpA"
"713_tnpA_JN887338.1"	"transposase"	"tnpA"
"1787_tnpA_AP008932.1"	"transposase"	"tnpA"
"2501_tnpA_CP017672.1"	"transposase"	"tnpA"
"1995_tnpA_CP009111.1"	"transposase"	"tnpA"
"2490_tnpA_FO681494.1"	"transposase"	"tnpA"
"331_tnpA_AY208917.2"	"transposase"	"tnpA"
"458_tnpA_KC609323.1"	"transposase"	"tnpA"
"746_tnpA_AJ863570.1"	"transposase"	"tnpA"
"758_tnpA3_FR875157.1"	"transposase"	"tnpA3"
"1143_tnpA_FR820585.1"	"transposase"	"tnpA"
"1490_tnpA_AJ515144.2"	"transposase"	"tnpA"
"2200_tnpA_AY365053.1"	"transposase"	"tnpA"
"2307_tnpA_AF333761.1"	"transposase"	"tnpA"
"2441_tnpA1_FR875157.1"	"transposase"	"tnpA1"
"2746_tnpA_AM420293.1"	"transposase"	"tnpA"
"2362_tnpA_AJ250371.1"	"transposase"	"tnpA"
"1501_tnpA_LO018305.1"	"transposase"	"tnpA"
"2493_tnpA_U03554.1"	"transposase"	"tnpA"
"337_tnpA_KF295829.1"	"transposase"	"tnpA"
"611_tnpA_X98999.3"	"transposase"	"tnpA"
"1279_tnpAc_CCYE01000010.1"	"transposase"	"tnpAc"
"1331_tnpAc_AB088420.3"	"transposase"	"tnpAc"
"2096_tnpA_AB375440.1"	"transposase"	"tnpA"
"785_tnpA_AF151431.1"	"transposase"	"tnpA"
"652_tnpA_Y09450.1"	"transposase"	"tnpA"
"1169_tnpA_EU780013.1"	"transposase"	"tnpA"
"1337_tnpA_AP001918.1"	"transposase"	"tnpA"
"520_tnpA_CP012903.1"	"transposase"	"tnpA"
"607_tnpA_KM107842.1"	"transposase"	"tnpA"
"941_tnpA_FN649418.1"	"transposase"	"tnpA"
"1551_tnpA_KF483599.2"	"transposase"	"tnpA"
"2167_tnpA_CBTJ020000114.1"	"transposase"	"tnpA"
"2559_tnpA_Y17830.1"	"transposase"	"tnpA"
"273_tnpA_KF826292.1"	"transposase"	"tnpA"
"291_tnpA_KJ511462.1"	"transposase"	"tnpA"
"2768_tnpA_CP010516.1"	"transposase"	"tnpA"
"296_tnpA_KJ406378.1"	"transposase"	"tnpA"
"590_tnpA_AY123045.1"	"transposase"	"tnpA"
"819_tnpA_KU254577.1"	"transposase"	"tnpA"
"1019_tnpA_KF295829.1"	"transposase"	"tnpA"
"1105_tnpA_HE577330.1"	"transposase"	"tnpA"
"1424_tnpA_CXZU01000085.1"	"transposase"	"tnpA"
"1691_tnpA_CR377166.1"	"transposase"	"tnpA"
"1965_tnpA1_CXOJ01000027.1"	"transposase"	"tnpA1"
"2227_tnpA_BAER01000036.1"	"transposase"	"tnpA"
"2417_tnpA_CAOF01000139.1"	"transposase"	"tnpA"
"784_tnpA_KJ541070.1"	"transposase"	"tnpA"
"803_tnpA_AM743169.1"	"transposase"	"tnpA"
"2359_tnpA_FR854089.1"	"transposase"	"tnpA"
"2182_tnpA_CP007448.1"	"transposase"	"tnpA"
"2690_tnpA_Tn3_like_KR822247.1"	"transposase"	"tnpA"
"1155_tnpA_FP236830.1"	"transposase"	"tnpA"
"1206_tnpA_CP002179.1"	"transposase"	"tnpA"
"1760_tnpA_AH010393.2"	"transposase"	"tnpA"
"1781_tnpA_HE798556.1"	"transposase"	"tnpA"
"2193_tnpA_CXPB01000088.1"	"transposase"	"tnpA"
"1917_tnpA_AB262965.1"	"transposase"	"tnpA"
"1540_tnpA_CP000646.1"	"transposase"	"tnpA"
"2246_tnpA_LN681228.1"	"transposase"	"tnpA"
"2554_tnpA_CZDF01000174.1"	"transposase"	"tnpA"
"277_tnpA_AF071413.3"	"transposase"	"tnpA"
"1141_tnpA_KJ631729.1"	"transposase"	"tnpA"
