GENE	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	BH34A_S98	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH34B_S99	BFH38A_S156	BH49_S110	BFH30_S148
414_tnpA_AL513383.1	170	981	2193	122	733	338	1327	1163	46	55	1064	66	434	2338	319	834	212	314	71	11	319	28	72	2	1112	32	6	644	7	20	1126	14	780	15	494	226	346	343	927	167	889	417	162	564	417	853	292	206	40	26	35	1286	5995	386	150	6	79	133	671	1066	31	5	253	147	93	3	1754	297	620	139	151	478	6	87	10	1055	249	212	257	2535	1070	166	1466	137	791	1183	689	2664	217	78	250	6	794	993	887	2216
2570_tnpA_CCSD01000073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2004_tnpA_HF677572.1	0	0	0	10	0	1	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
733_tnpA1_CBTR010000003.1	3	0	459	1	1	0	1	59	0	0	2	3	52	57	1	4	3	12	0	0	19	0	1	0	2	0	0	2	0	0	0	1	169	1	4	0	0	52	28	1	37	4	1	2	34	154	1	3	0	0	1	21	181	0	1	0	0	1	351	75	1	0	0	0	22	0	11	3	37	0	0	5	0	86	0	21	0	3	1	33	5	0	117	2	8	182	1	134	3	0	0	0	0	165	2	259
1017_tnpA_FKLR01000027.1	0	0	71	1	0	0	0	6	0	6	0	0	16	45	0	4	1	0	0	0	3	0	0	0	6	2	0	0	0	0	0	0	13	0	0	0	43	10	18	0	0	7	2	0	11	4	1	0	0	0	1	5	26	0	4	0	0	5	2	0	0	0	0	1	3	0	4	2	0	1	0	0	0	19	0	3	3	0	20	75	4	1	0	1	1	9	0	58	12	1	0	0	0	5	1	20
2268_tnpA_AYLO01000021.1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
1044_tnpA_AB723628.1	3	328	963	2	11	7	110	411	6	2	796	3	40	442	25	60	27	6	1	2	49	3	11	2	684	7	1	18	3	2	3	1	268	4	19	12	159	91	239	1	101	24	2	19	117	121	6	7	1	2	1	559	2207	17	11	1	26	14	203	114	4	1	2	4	6	2	438	41	227	1	8	22	0	13	3	189	13	17	17	499	72	16	167	7	53	258	34	469	9	1	4	2	22	161	199	725
713_tnpA_JN887338.1	0	0	30	4	1	0	0	1	0	1	0	0	28	14	0	0	0	1	1	0	1	0	0	0	5	0	0	3	0	0	1	1	14	0	0	0	11	2	2	2	0	7	0	0	10	7	1	2	0	0	0	5	458	0	2	0	0	3	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	12	0	1	2	0	22	23	1	0	0	0	2	2	0	0	5	2	0	0	0	5	0	2
1787_tnpA_AP008932.1	0	1	2	2	0	0	6	0	0	36	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	4	0	0	5	5	0	0	0	0	8	0	0	0	4	0	1	0	0	0	0	0
2501_tnpA_CP017672.1	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	4	0	2	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	8	0	2
