ID	alias	date	continent	country	country2	country3	name	hospital	replicate	HWW	most_used_ab*	description	hospital_section	hospital_description	no_of_beds	lat	long	sample_material	DNA_ng_µl	A260_280	M_Seqs_trimmed	plot_name
BH01_S76	BH01	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	neonatology, septic tank	maternity	Secondary hospital	200	6.49245	2.40193	water	648.235	1.894	27.4	hospital effluent
BH02_S77	BH02	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	pediatry, septic tank	pediatry	Secondary hospital	200	6.49245	2.40193	water	44.115	1.863	30.8	hospital effluent
BH03_S78	BH03	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	surgery room, septic tank	surgery	Secondary hospital	200	6.49245	2.40193	water	98.572	1.844	31.6	hospital effluent
BH05_S80	BH05	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	maternity, septic tank	maternity	Secondary hospital	200	6.49245	2.40193	water	102.506	1.856	28.2	hospital effluent
BH06_S81	BH06	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	mortuary, septic tank	other	Secondary hospital	200	6.49245	2.40193	water	132.862	1.843	31.5	hospital effluent
BH07_S82	BH07	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	laundry, open sump	other	Secondary hospital	200	6.49245	2.40193	water	54.667	1.88	25.8	hospital effluent
BH09_S83	BH09	27_11_19	West Africa	Benin	Benin	BENN HWW A	BENN HWW A	A	NO	YES	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	surgery for demanding operations, final sump	surgery	Secondary hospital	200	6.49245	2.40193	water	29.731	1.916	24.8	hospital effluent
BH11_S85	BH11	27_11_19	West Africa	Benin	Benin Env.	BENN other	BENN well water A (drinking)	A	NO	NO	amikacin, amoxicillin, ampicillin, cefixim, ciprofloxacillin, imipenem, nalidixic acid	drinking water, well 100 m away from the hospital	treated, drinking water	Secondary hospital	200	6.49245	2.40193	water	30.892	1.913	30.3	well water, drinking
BH13_S86	BH13	27_11_19	West Africa	Benin	Benin Env.	BENN other	BENN street gutter B	B	NO	NO	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	street gutter 100 m away from the hospital, water	street gutter	Secondary hospital	110	6.3880014	2.3735619	water	65.115	1.894	28.8	street gutter, water
BH27_S92	BH27	29_11_19	West Africa	Benin	Benin	BENN HWW B	BENN HWW B	B	NO	YES	amoxicillin + clavulanic acid, amoxicillin, aztreonam, ceftriazon, ciprofloxacilin, colistin, doxyciclin, erythromicine, fosfomycin, gentamicin, imipenem, meronem, netilmicin, ofloxacilin	intensive care, laundry, laboratory, maternal, child health, central septic tank	other	Secondary hospital	110	6.3880014	2.3735619	water	11.398	1.99	32.8	hospital effluent
