GENE	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
414_tnpA_AL513383.1	5	15	15	9	263	18	165	15	10
2570_tnpA_CCSD01000073.1	0	0	0	0	0	0	0	0	0
2004_tnpA_HF677572.1	0	0	0	0	0	0	0	0	0
733_tnpA1_CBTR010000003.1	0	0	0	0	1	0	0	0	3
1017_tnpA_FKLR01000027.1	0	0	0	1	4	0	0	2	0
2268_tnpA_AYLO01000021.1	0	0	0	0	0	2	0	0	0
1044_tnpA_AB723628.1	0	1	0	2	46	0	91	1	0
713_tnpA_JN887338.1	0	0	0	0	1	0	2	1	0
1787_tnpA_AP008932.1	0	0	0	0	0	0	0	0	0
2501_tnpA_CP017672.1	0	0	0	0	0	0	0	0	0
1995_tnpA_CP009111.1	0	0	0	0	0	0	0	0	0
2490_tnpA_FO681494.1	0	0	0	0	0	0	1	0	0
331_tnpA_AY208917.2	1	13	26	4	1	7	23	14	4
458_tnpA_KC609323.1	0	0	0	1	0	0	128	4	1
746_tnpA_AJ863570.1	14	53	104	123	28	33	37	105	32
758_tnpA3_FR875157.1	0	0	0	0	0	0	1	0	0
1143_tnpA_FR820585.1	0	0	0	0	0	1	0	1	0
1490_tnpA_AJ515144.2	0	0	2	0	0	0	1	2	8
2200_tnpA_AY365053.1	0	0	0	0	0	0	1	0	0
2307_tnpA_AF333761.1	0	0	0	0	0	0	0	0	0
2441_tnpA1_FR875157.1	0	0	0	0	0	0	0	0	0
2746_tnpA_AM420293.1	0	0	0	0	0	0	0	0	0
2362_tnpA_AJ250371.1	4	15	21	440	11	29	82	215	92
1501_tnpA_LO018305.1	0	0	0	0	0	0	0	0	0
2493_tnpA_U03554.1	0	0	0	0	0	0	0	0	0
337_tnpA_KF295829.1	1	0	0	2	200	1	488	6	2
611_tnpA_X98999.3	2	0	0	1	4	0	1	0	0
1279_tnpAc_CCYE01000010.1	0	0	0	0	0	0	0	0	2
1331_tnpAc_AB088420.3	0	0	0	0	1	0	0	0	0
2096_tnpA_AB375440.1	0	0	0	0	1	0	0	0	0
785_tnpA_AF151431.1	1	0	0	0	0	0	1	0	0
652_tnpA_Y09450.1	0	1	4	1	0	1	4	6	3
1169_tnpA_EU780013.1	0	0	0	13	92	0	142	5	0
