clade_name	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__Flexilinea_flocculi	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_sp_J_3_6_1_F_2_7_3	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881;o__OFGB20881;f__FGB20881;g__GGB58408;s__GGB58408_SGB80063	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__Flexilinea_flocculi;t__SGB17623	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_sp_J_3_6_1_F_2_7_3;t__SGB58788	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881;o__OFGB20881;f__FGB20881;g__GGB58408;s__GGB58408_SGB80063;t__SGB80063	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Rivicola;s__Rivicola_pingtungensis	0.0	57.59721	0.0	71.71001	57.24373	13.62058	9.02006	20.25091	5.92213
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Rivicola;s__Rivicola_pingtungensis;t__SGB22509	0.0	57.59721	0.0	71.71001	57.24373	13.62058	9.02006	20.25091	5.92213
k__Bacteria;p__Tenericutes;c__CFGB26653;o__OFGB26653;f__FGB26653;g__GGB26653;s__GGB26653_SGB38834	0.0	0.0	35.59471	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_paurosaccharolyticus	0.0	0.0	13.29227	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera_humireducens	0.0	0.0	6.27313	0.0	0.0	0.0	0.0	2.41778	0.0
k__Bacteria;p__Tenericutes;c__CFGB26653;o__OFGB26653;f__FGB26653;g__GGB26653;s__GGB26653_SGB38834;t__SGB38834	0.0	0.0	35.59471	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_paurosaccharolyticus;t__SGB27748	0.0	0.0	13.29227	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera_humireducens;t__SGB12597	0.0	0.0	6.27313	0.0	0.0	0.0	0.0	2.41778	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Oryzomicrobium;s__Oryzomicrobium_terrae	0.0	0.0	0.0	26.06119	0.1387	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Kinneretia;s__Kinneretia_asaccharophila	0.0	0.0	0.0	2.2288	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Oryzomicrobium;s__Oryzomicrobium_terrae;t__SGB32906	0.0	0.0	0.0	26.06119	0.1387	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Kinneretia;s__Kinneretia_asaccharophila;t__SGB32545	0.0	0.0	0.0	2.2288	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp_86	0.0	0.0	0.0	0.0	39.78398	85.58159	1.73847	1.66455	0.11392
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae	0.0	0.0	0.0	0.0	2.15203	0.0	6.50746	1.70503	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas_osonensis	0.0	0.0	0.0	0.0	0.68156	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp_86;t__SGB85559	0.0	0.0	0.0	0.0	39.78398	85.58159	1.73847	1.66455	0.11392
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae;t__SGB10115	0.0	0.0	0.0	0.0	2.15203	0.0	6.50746	1.70503	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas_osonensis;t__SGB85924	0.0	0.0	0.0	0.0	0.68156	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.0	0.0	0.0	0.0	0.0	0.0	22.8308	47.62039	7.52022
