clade_name	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
k__Bacteria	69.96407	100.0	58.84351	100.0	100.0	99.20217	100.0	100.0	100.0
k__Archaea	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	6.98096	57.59721	6.27313	100.0	100.0	99.20217	19.00939	31.35953	17.94305
k__Bacteria;p__Chloroflexi;c__Anaerolineae	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881;o__OFGB20881	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881;o__OFGB20881;f__FGB20881	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea	62.98311	42.40279	3.6834	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	30.03593	0.0	41.15649	0.0	0.0	0.79783	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB20881;o__OFGB20881;f__FGB20881;g__GGB58408	6.98096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
