Taxa	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae	0	0	0	3	4	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;	1	0	0	1	0	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter	0	0	0	0	0	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;	3	0	3	2	5	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix	0	1	0	10	7	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga	0	1	0	0	1	0	1	0	0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Unclassified Holophagaceae	0	1	0	1	4	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Unclassified Holophagae;;	0	0	0	2	0	0	0	0	0
Bacteria;Acidobacteria;Unclassified Acidobacteria;;;	0	2	0	3	27	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;	0	0	0	0	0	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum	0	0	0	0	0	0	2	8	11
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1	2	3	0	1	0	7	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium	0	0	0	0	0	0	0	4	2
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Unclassified Actinomycetaceae	0	0	1	0	0	0	4	2	5
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Unclassified Actinomycetales;	0	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1	6	2	0	1	0	52	53	110
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	0	0	0	0	0	0	1	0	1
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Unclassified Bifidobacteriaceae	1	0	0	0	0	0	2	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	2	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Unclassified Corynebacteriaceae	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	0	10	4	0	2	0	5	2	7
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Unclassified Mycobacteriaceae	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia	0	0	0	0	0	0	3	2	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	0	0	0	0	0	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	0	0	2	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Unclassified Nocardiaceae	0	0	1	0	0	0	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales;	0	0	1	0	0	0	1	1	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Unclassified Acidothermaceae	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia	0	0	0	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Unclassified Geodermatophilaceae	2	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Unclassified Nakamurellaceae	0	0	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales;	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia	0	0	1	0	0	0	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae;Unclassified Bogoriellaceae	0	1	0	0	0	0	0	0	0
