#name	length
414_tnpA_AL513383.1	3497
2570_tnpA_CCSD01000073.1	3090
2004_tnpA_HF677572.1	3084
733_tnpA1_CBTR010000003.1	3081
1017_tnpA_FKLR01000027.1	3066
2268_tnpA_AYLO01000021.1	3066
1044_tnpA_AB723628.1	3045
713_tnpA_JN887338.1	3039
1787_tnpA_AP008932.1	3036
2501_tnpA_CP017672.1	3036
1995_tnpA_CP009111.1	3030
2490_tnpA_FO681494.1	3030
331_tnpA_AY208917.2	3030
458_tnpA_KC609323.1	3030
746_tnpA_AJ863570.1	3030
758_tnpA3_FR875157.1	3030
1143_tnpA_FR820585.1	3027
1490_tnpA_AJ515144.2	3027
2200_tnpA_AY365053.1	3027
2307_tnpA_AF333761.1	3027
2441_tnpA1_FR875157.1	3027
2746_tnpA_AM420293.1	3024
2362_tnpA_AJ250371.1	3022
1501_tnpA_LO018305.1	3021
2493_tnpA_U03554.1	3018
337_tnpA_KF295829.1	3018
611_tnpA_X98999.3	3018
1279_tnpAc_CCYE01000010.1	3015
1331_tnpAc_AB088420.3	3015
2096_tnpA_AB375440.1	3015
785_tnpA_AF151431.1	3015
652_tnpA_Y09450.1	3012
1169_tnpA_EU780013.1	3009
1337_tnpA_AP001918.1	3009
520_tnpA_CP012903.1	3009
607_tnpA_KM107842.1	3009
941_tnpA_FN649418.1	3009
1551_tnpA_KF483599.2	3006
2167_tnpA_CBTJ020000114.1	3006
2559_tnpA_Y17830.1	3006
273_tnpA_KF826292.1	3006
291_tnpA_KJ511462.1	3006
2768_tnpA_CP010516.1	3000
296_tnpA_KJ406378.1	3000
590_tnpA_AY123045.1	2997
819_tnpA_KU254577.1	2997
1019_tnpA_KF295829.1	2994
1105_tnpA_HE577330.1	2994
1424_tnpA_CXZU01000085.1	2994
1691_tnpA_CR377166.1	2994
1965_tnpA1_CXOJ01000027.1	2994
2227_tnpA_BAER01000036.1	2994
2417_tnpA_CAOF01000139.1	2994
784_tnpA_KJ541070.1	2994
803_tnpA_AM743169.1	2994
2359_tnpA_FR854089.1	2991
2182_tnpA_CP007448.1	2988
2690_tnpA_Tn3_like_KR822247.1	2988
1155_tnpA_FP236830.1	2985
1206_tnpA_CP002179.1	2985
1760_tnpA_AH010393.2	2985
1781_tnpA_HE798556.1	2985
2193_tnpA_CXPB01000088.1	2985
1917_tnpA_AB262965.1	2983
1540_tnpA_CP000646.1	2982
2246_tnpA_LN681228.1	2979
2554_tnpA_CZDF01000174.1	2979
277_tnpA_AF071413.3	2979
1141_tnpA_KJ631729.1	2976
628_tnpA_AY297781.1	2976
1456_tnpA_LT599584.1	2973
1499_tnpA_L14931.1	2973
1798_tnpA_FP475957.1	2973
1841_tnpA_KJ439039.1	2973
286_tnpA_KU997026.1	2973
1811_tnpA-3_AJ877225.1	2970
1829_tnpA_AP014810.1	2970
2197_tnpA_AL954747.1	2970
2340_tnpA_AB238971.1	2970
2369_tnpA_AJ431260.1	2970
2562_tnpA_JX448550.1	2970
2607_tnpA_AF544991.1	2970
506_tnpA_AY327575.2	2970
533_tnpA_CBTV010000137.1	2970
704_tnpA_CP002152.1	2970
1030_tnpA_LK931667.1	2967
1121_tnpA_JX486125.1	2967
1122_tnpA_HM560971.1	2967
1159_tnpA_DQ057986.1	2967
1298_tnpA_12_CP012683.1	2967
1335_tnpA1_FN597644.1	2967
1525_tnpA_KU130294.1	2967
1716_tnpA_AY821803.1	2967
1778_tnpA_JX469829.1	2967
2030_tnpA_HQ730118.1	2967
2179_tnpA_CCYE01000037.1	2967
2185_tnpA_CP003204.1	2967
2431_tnpA3_CP002151.1	2967
2452_tnpA_CCAE010000033.1	2967
2627_tnpA_ISSod9_AE014300.1	2967
2702_tnpA_EF079106.1	2967
2711_tnpA_AF121000.1	2967
2728_tnpA_LT222315.1	2967
2734_tnpA_JN106164.1	2967
2796_tnpA5_CP002153.1	2967
330_tnpA_KP893385.1	2967
341_tnpA_KU130294.1	2967
382_tnpA-2_AM261760.1	2967
434_tnpA_KC170280.1	2967
446_tnpA_KF856624.1	2967
552_tnpA_AJ344068.1	2967
662_tnpA_AJ251307.2	2967
684_tnpA_AB238971.1	2967
797_tnpA_EF469735.1	2967
926_tnpA2_AJ431260.1	2967
398_tnpA*_EU287476.1	2966
1770_tnpA_AM039951.1	2964
2614_tnpA_AJ251743.1	2964
498_tnpA_CP003891.1	2964
1227_tnpA_AY780525.1	2961
1549_tnpA_CAGJ01000062.1	2961
2343_tnpA_LXLF01000020.1	2961
2492_tnpA_CAGJ01000127.1	2961
321_tnpA_CCXZ01000015.1	2961
1561_tnpA_AP010803.1	2958
2099_tnpA_AP010805.1	2958
2557_tnpA_CDNB01000043.1	2958
2766_tnpA_LN997849.1	2955
1775_tnpA_CP000040.1	2952
2194_tnpA_LC015492.1	2952
572_tnpA_CP004000.1	2952
2245_tnpA_CP000042.1	2949
2252_tnpA_LK021128.1	2943
1069_tnpA_HE999757.2	2940
1517_tnpA_AGFM01000122.1	2940
1621_tnpA_AY305378.1	2940
693_tnpA_X90708.2	2940
2172_tnpA_CYGX02000051.1	2934
2454_tnpA_CYGY02000079.1	2934
2495_tnpA_FMSH01000496.1	2928
1322_tnpA_FO203427.1	2925
2283_tnpA_CU633751.1	2925
2341_tnpA_KX530813.1	2925
557_tnpA_CP002367.1	2919
832_tnpA_GU591497.1	2919
2780_tnpA_HE999757.2	2916
464_tnpA_CP001603.1	2916
1403_tnpA_JN104632.1	2913
299_tnpA_AH010657.3	2913
1883_tnpA_JN127372.1	2904
1128_tnpA_JNFD01000045.1	2898
1267_tnpA_FO082821.1	2898
345_tnpA_Tn3_likeKR822247.1	2898
1523_tnpA1_JFHO01000231.1	2895
744_tnpA_AF110140.1	2895
549_tnpA_AP010803.1	2892
279_tnpA_M95402.1	2886
1289_tnpA_GQ468938.1	2883
1907_tnpA_AY232820.1	2883
2503_tnpA1_FMJB01000022.1	2883
809_tnpA2_JFHO01000231.1	2880
1091_tnpA_AY327575.2	2871
2205_tnpA_KX029331.1	2859
2267_tnpA_KC354801.1	2830
2735_tnpA_HE616891.1	2823
2273_tnpA_JYHQ01000107.1	2817
2510_tnpA_CANI01000054.1	2814
2443_tnpA_KC543497.1	2811
2035_tnpA_CBSZ010000094.1	2802
1088_tnpA_U33002.1	2730
2002_tnpA_AF072896.1	2718
287_tnpA_KT922275.1	2712
2451_tnpA_JN106169.1	2703
573_tnpA_AP014646.1	2664
1364_tnpA_LN681228.1	2586
1162_tnpA_ISSod4_AE014300.1	2550
308_tnpA_AM234722.1	2550
950_tnpA_CYCY01000048.1	2544
2189_tnpA_M90749.1	2536
2258_tnpA_CAHO01000139.1	2532
1503_tnpA_KF719970.1	2508
1293_tnpA_ISSod1_AE014300.1	2461
1125_tnpA_CXPB01000073.1	2451
2634_Tn916-orf16_KC414929	2448
445_tnpA_AE008924.1	2448
1370_tnpA_AE014299.2	2441
1785_tnpA_AE014299.2	2441
1987_tnpA_AE014299.2	2437
660_tnpA_CP000355.2	2430
2034_tnpA1_ADFW01000001.1	2421
1203_tnpA_LC075716.1	2406
1692_tnpA_AP010806.1	2403
1744_ISCR1_HG003695.1	2370
2773_tnpA_JX194160.1	2346
1652_tnpA_ANGG01000530.1	2340
1873_tnpA1_CP000831.1	2319
1342_tnpA_CP001590.1	2316
1638_tnpA_FJ948173.1	2316
1930_tniA_FJ948173.1	2256
1216_tnpA_CP002879.1	2239
729_tnpA_LC155908.1	2217
451_tnpA_KU254577.1	2216
2646_Tn916-orf15_KC414929	2199
1033_tnpA_LC198842.1	2178
2536_tnpA_AY850399.1	2154
2498_tnpA_AE014299.2	2148
343_tnpA_KJ933392.1	2148
1952_tnpA_GQ160960.2	2128
1763_tnpA_DQ839391.1	2127
1585_tnpA1000_KX709966.1	2097
1980_tnpA_AE014299.2	2064
