#name	length
aac(6')-Ib_2_M23634 	606
aac(6')-Ib11_1_AY136758 	570
aac(6')-30-aac(6')-Ib'_1_AJ584652 	987
aac(6')-Iaj_1_AB709942 	555
aac(6')-Ian_1_AP014611 	573
aac(6')-Iak_1_AB894482 	462
aac(6')-Ib-Hangzhou_1_FJ503047 	519
aac(6')-Ib-Suzhou_1_EU085533 	519
aac(6')-Iid_1_AJ584700 	549
aac(6')-Iih_1_AJ584701 	552
aac(6')-Iz_2_AB971834 	462
aac(6')-29b_1_AF263519 	396
aac(6')-29a_1_AF263519 	396
aac(6')-Iaa_1_NC_003197 	438
aac(6')-Ih_2_KT778788 	441
aac(6')-Ix_1_AF031332 	441
aac(6')-Il_1_U13880 	459
aac(6')-Ia_2_M86913 	558
aac(6')-Iag_1_AB472901 	504
aac(2')-IIa_1_AB669090 	783
kamB_1_AJ629123 	468
grmO_1_AY524043 	894
fmrO_1_Q08325 	879
grmB_1_M55521 	825
grmA_1_M55520 	825
kgmB_1_S60108 	843
sgm_1_M87057 	825
aph(3')-VI_2_APPJ01000012 	780
aph(3')-IX_1_APPN01000061 	801
ant(6)-Ia_5_AB247327 	909
aadA13_2_NC010643 	798
aadA11_2_AJ567827 	792
aadA10_2_AM087405 	834
aadA7_2_AB114632 	798
aadA2_1_NC_010870 	819
aadD_2_M19465 	762
aph(2'')-Ib_2_AF207840 	900
aph(7'')-Ia_1_X03615 	999
aph(9)-Ia_2_CR628337 	993
aph(6)-Ia_2_Y00459 	924
aph(6)-Id_1_M28829 	837
aph(6)-Id_3_AB109805 	837
aph(6)-Id_4_CP000971 	831
aph(6)-Id_5_18676889 	837
aph(3'')-Ia_2_AP009493 	819
aph(3'')-Ia_3_M37378 	819
aph(3'')-Ib_1_M28829 	804
aph(3'')-Ib_3_AF321550 	804
aph(3'')-Ib_4_AF313472 	804
aadE-Cc_1_CP013733 	900
ant(2'')-Ia_2_JF826500 	534
ant(2'')-Ia_3_X74412 	534
ant(2'')-Ia_4_AF458082 	534
ant(2'')-Ia_5_AY139594 	534
ant(2'')-Ia_6_AJ871915 	534
ant(2'')-Ia_7_DQ018384 	534
ant(2'')-Ia_8_AY920928 	534
