GENE	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
gb|GQ343019.1|+|132-1023|ARO:3002999|CblA-1	0	0	0	0	0	0	7	5	2
gb|HQ845196.1|+|0-861|ARO:3001109|SHV-52	0	0	0	0	0	0	0	0	0
gb|AF028812.1|+|392-887|ARO:3002867|dfrF	1	2	4	0	0	0	5	1	10
gb|JX017365.1|+|244-1120|ARO:3001989|CTX-M-130	0	0	0	0	0	0	0	0	0
gb|JN967644.1|+|0-813|ARO:3002356|NDM-6	0	0	0	0	0	0	0	0	0
gb|LC004922.1|+|0-1146|ARO:3001855|ACT-35	0	0	0	0	0	0	0	0	0
gb|AF135373.1|+|11-908|ARO:3002244|CARB-5	0	0	0	0	0	0	0	0	0
gb|AY234334.1|+|0-846|ARO:3000600|Erm(34)	0	0	0	0	0	0	0	0	0
gb|AY628199.1|+|203-1064|ARO:3000988|TEM-126	0	0	0	0	0	0	2	0	1
gb|EU408351.1|+|16572-17454|ARO:3002511|LRA-12	0	0	0	0	0	0	0	0	0
gb|AF157553.1|+|147-1008|ARO:3000938|TEM-72	0	0	0	0	0	0	1	0	0
gb|AF062386.1|+|30-862|ARO:3000928|TEM-59	0	0	0	0	0	0	0	0	0
gb|GQ140348.1|+|0-882|ARO:3002320|KPC-10	0	0	0	0	0	0	1	0	0
gb|JN861780.1|+|0-825|ARO:3001711|OXA-212	0	0	0	0	0	0	1	0	0
gb|AJ243491.1|+|0-741|ARO:3002193|IMP-2	0	0	0	0	0	0	0	0	0
gb|X92508.1|+|332-1481|ARO:3002012|CMY-1	0	0	0	0	0	0	0	0	0
gb|KF203103.1|+|0-822|ARO:3001517|OXA-329	0	0	0	0	0	0	0	0	0
gb|JN848330.1|+|0-1146|ARO:3001832|ACT-10	0	0	0	0	0	0	0	0	0
gb|AB871653.1|+|11870-12695|ARO:3001557|OXA-371	0	0	0	0	0	0	0	0	0
gb|AY047358.1|+|1710-2352|ARO:3003552|fusB	0	0	0	0	0	0	0	0	0
gb|JN790862.1|+|244-1120|ARO:3001980|CTX-M-121	0	0	0	0	0	0	0	0	0
gb|AY536519.1|+|37-937|ARO:3002372|VEB-3	1	0	0	0	8	1	1	0	0
gb|M14039.1|+|412-898|ARO:3002835|lnuA	0	0	0	1	0	0	0	0	0
gb|AJ519683.1|+|281-1076|ARO:3001794|OXA-45	0	0	0	0	0	0	0	0	1
gb|FJ617207.1|+|0-828|ARO:3001800|OXA-226	1	2	1	1	0	0	4	2	1
gb|KM211508.1|+|0-876|ARO:3003163|CTX-M-155	0	0	0	0	0	0	0	0	0
gb|KM087853.1|+|0-1140|ARO:3002146|DHA-15	0	0	0	0	0	0	0	0	0
gb|EU294228.1|+|21241-22717|ARO:3003109|msrE	3	13	50	4	11	1	428	490	200
gb|AJ871876.1|+|0-876|ARO:3002415|OXY-6-3	0	0	0	0	0	0	0	0	0
gb|EU487198.1|+|216-642|ARO:3002804|FosA2	0	0	0	0	13	0	1	1	0
gb|K00432.1|+|306-1113|ARO:3002649|APH(3')-Va	0	0	0	0	0	0	0	0	0
gb|U12338.3|+|5055-5520|ARO:3002528|AAC(3)-Ia	0	1	0	0	0	0	1	0	0
gb|JX259319.1|+|0-681|ARO:3002771|QnrB58	0	0	0	0	0	0	0	0	0
gb|KC544262.1|+|665-1424|ARO:3003198|rmtH	0	0	0	0	0	0	0	0	0
gb|AJ871874.1|+|0-876|ARO:3002413|OXY-6-1	0	0	0	0	0	0	0	0	0
gb|AE006468.2|+|400860-401325|ARO:3000504|golS	0	0	0	0	0	0	0	0	0
gb|AP009048.1|-|4303042-4304509|ARO:3003550|mdtP	0	1	0	0	0	0	8	2	1
gb|KM087846.1|+|0-1146|ARO:3002125|CMY-114	0	0	0	0	0	0	0	0	0
gb|AF525303.2|+|2770-3586|ARO:3001808|OXA-60	0	0	0	0	0	0	0	0	0
gb|AM231719.1|+|0-825|ARO:3001650|OXA-90	0	0	0	0	0	0	0	0	0
gb|AF275256.1|+|0-885|ARO:3002380|SME-2	0	0	0	0	0	0	0	0	0
gb|L06161.1|+|105-945|ARO:3002538|AAC(3)-IIIc	0	0	0	0	0	0	0	1	1
gb|AF473577.1|+|0-873|ARO:3002397|OXY-2-2	0	0	0	0	0	0	0	0	0
gb|GQ152600.1|+|0-1152|ARO:3002188|MOX-5	0	0	0	0	0	0	0	0	0
gb|KC292503.1|+|4334-5195|ARO:3000904|TEM-34	0	0	0	0	0	0	2	0	0
gb|CU459141.1|+|2175316-2176141|ARO:3001617|OXA-69	0	0	0	0	0	0	0	0	0
gb|AF527798.1|+|0-783|ARO:3000879|TEM-7	0	0	0	0	0	0	1	0	0
gb|AB023477.1|+|0-861|ARO:3001082|SHV-24	0	0	0	0	0	0	0	0	0
gb|JX440358.1|+|130-775|ARO:3002762|QnrB47	0	0	0	0	0	0	0	0	0
gb|HE616889.1|+|1826-2627|ARO:3001502|OXA-256	1	1	1	2	34	53	4	1	0
gb|HQ631376.1|+|0-657|ARO:3002795|QnrS6	0	0	0	0	42	1	0	1	0
gb|KF203104.1|+|0-822|ARO:3001518|OXA-330	0	0	0	0	0	0	0	0	0
gb|HM146927.1|+|0-1146|ARO:3002053|CMY-42	0	1	0	0	2	2	0	0	0
gb|JQ808129.1|+|633-1188|ARO:3002546|AAC(6')-Ib	2	1	0	3	17	0	15	1	3
gb|JX440350.1|+|1026-2172|ARO:3002083|CMY-70	0	0	0	0	1	0	0	0	0
gb|JQ772478.1|+|140-1004|ARO:3002350|GES-21	0	0	0	0	7	0	8	1	1
gb|AF535129.1|+|0-861|ARO:3001099|SHV-41	0	0	0	0	0	0	0	0	0
